date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed
2007-01-13,48,69.1,0,0,0,6.93,230,17
2007-01-19,34,54,0,0,0,6.93,270,17
2007-01-21,28,35.1,0.8,0,0,5.82,90,12.97
2007-01-25,30.9,46.9,0,0,0,6.49,290,19.91
2007-01-27,32,64,0,0,0,11.41,230,19.91
2007-02-05,19.9,39.9,0,0,0,7.83,270,17.9
2007-02-08,27,48,0,0,0,3.13,300,14.99
2007-02-09,21.9,42.1,0,0,0,3.36,360,14.09
2007-04-06,30,57,0.01,0,0,2.46,360,16.11
2007-04-11,46,59,0.73,0,0,6.49,140,17.9
2007-04-17,46.9,72,0,0,0,7.61,360,19.91
2007-04-19,44.1,57.9,0.04,0,0,4.47,90,12.97
2007-04-27,63,82.9,0.25,0,0,11.18,220,21.03
2007-04-28,59,75.9,0,0,0,6.71,270,16.11
2007-04-29,53.1,80.1,0,0,0,6.49,300,17.9
2007-05-02,63,90,0,0,0,8.72,230,14.99
2007-06-14,60.1,70,0.01,0,0,6.71,80,14.99
2007-06-22,62.1,91,0.13,0,0,4.25,30,19.91
2007-07-15,66.9,90,0,0,0,7.38,230,14.99
2007-07-16,70,91.9,0,0,0,8.05,230,16.11
2007-07-22,57.9,84.9,0,0,0,5.14,50,17.9
2007-07-29,66.9,89.1,0,0,0,4.25,160,16.11
2007-08-09,78.1,104,0,0,0,4.25,120,23.04
2007-08-20,75,102.9,0,0,0,10.51,230,19.91
2007-09-03,59,91,0,0,0,3.36,90,10.07
2007-09-05,66,96.1,0,0,0,4.25,170,10.07
2007-09-15,61,82,0,0,0,5.59,50,16.11
2007-09-23,66,91.9,0,0,0,4.47,110,12.97
2007-10-09,66,93.9,0,0,0,4.7,270,10.07
2007-10-18,63,84.9,0.04,0,0,5.14,230,12.97
2007-10-31,37.9,73.9,0,0,0,1.79,140,8.95
2007-11-03,39.9,66,0,0,0,5.37,20,14.99
2007-11-07,30,55,0,0,0,3.8,40,12.97
2007-11-09,34,61,0,0,0,4.25,210,12.08
2007-11-21,46.9,78.1,0,0,0,7.61,230,21.03
2007-11-25,36,48.9,0.06,0,0,3.13,90,10.07
