Date;Year;Length;Title;Subject;Actor;Actress;Director;Popularity;Awards;*Image
02/10/18;1990;111;Tie;Me;Up!;Tie;Me;Down!;Comedy;Banderas,
03/10/18;1991;113;High;Heels;Comedy;Bos�,;Miguel;Abril,;Victoria;Almod�var,
04/10/18;1983;104;Dead;Zone,;The;Horror;Walken,;Christopher;Adams,;Brooke
05/10/18;1979;122;Cuba;Action;Connery,;Sean;Adams,;Brooke;Lester,;Richard
06/10/18;1978;94;Days;of;Heaven;Drama;Gere,;Richard;Adams,;Brooke
07/10/18;1983;140;Octopussy;Action;Moore,;Roger;Adams,;Maud;Glen,;John
08/10/18;1984;101;Target;Eagle;Action;Connors,;Chuck;Adams,;Maud;Loma,
09/10/18;1989;99;American;Angels:;Baptism;of;Blood,;The;Drama;Bergen,
10/10/18;1985;104;Subway;Drama;Lambert,;Christopher;Adjani,;Isabelle;Besson,;Luc
11/10/18;1990;149;Camille;Claudel;Drama;Depardieu,;G�rard;Adjani,;Isabelle;Nuytten,
12/10/18;1982;188;Fanny;and;Alexander;Drama;Ahlstedt,;B�rje;Adolphson,;Kristina
13/10/18;1982;117;Tragedy;of;a;Ridiculous;Man;Drama;Tognazzi,;Ugo
14/10/18;1966;103;A;Man;&;a;Woman;Drama;Trintignant,;Jean-Louis
15/10/18;1986;112;A;Man;&;a;Woman:;Twenty;Years;Later
16/10/18;1966;103;Un;Hombre;y;una;Mujer;Drama;Trintignant,;Jean-Louis
17/10/18;1985;112;Official;Story,;The;Drama;Alterio,;Hector;Aleandro,;Norma
18/10/18;1976;150;Lindbergh;Kidnapping;Case,;The;Drama;Hopkins,;Anthony;Alexander,
19/10/18;1929;84;Blackmail;Mystery;Longden,;John;Algood,;Sara;Hitchcock,;Alfred
20/10/18;1963;109;Donovan's;Reef;Comedy;Wayne,;John;Allen,;Elizabeth;Ford,
21/10/18;1988;110;Tucker:;The;Man;&;His;Dream;Drama;Bridges,
22/10/18;1988;101;Scrooged;Comedy;Murray,;Bill;Allen,;Karen;Donner,;Richard
23/10/18;1981;116;Raiders;of;the;Lost;Ark;Action;Ford,;Harrison
24/10/18;1987;101;Running;Man,;The;Science;Fiction;Schwarzenegger,;Arnold;Alonso,
25/10/18;1991;105;Predator;2;Action;Glover,;Danny;Alonso,;Maria;Conchita
26/10/18;1988;127;Colors;Drama;Penn,;Sean;Alonso,;Maria;Conchita;Hopper,
27/10/18;1990;97;Zandalee;Drama;Cage,;Nicolas;Anderson,;Erika;Pillsbury,;Sam
28/10/18;1988;108;Miles;from;Home;Drama;Anderson,;Kevin;Anderson,;Jo
29/10/18;1980;;Happy;Birthday;to;Me;Horror;Ford,;Glenn;Anderson,
30/10/18;1989;88;Final;Notice;Mystery;Gerard,;Gil;Anderson,;Melody;Stern,
31/10/18;1979;110;Quintet;Drama;Newman,;Paul;Andersson,;Bibi;Altman,;Robert
01/11/18;1960;90;Devil's;Eye,;The;Drama;Kulle,;Jarl;Andersson,;Bibi
02/11/18;1957;91;Wild;Strawberries;Drama;Sj�str�m,;Victor;Andersson,;Bibi;Bergman,
03/11/18;1956;96;Seventh;Seal,;The;Drama;Sydow,;Max;von;Andersson,
04/11/18;1992;90;Germicide;Drama;Taylor,;Rod;Andersson,;Bibi;;36
05/11/18;1955;86;Dreams;Drama;Bj�rnstrand,;Gunnar;Andersson,;Harriet;Bergman,;Ingmar
